,AdaptorLong reward (mean),AdaptorLong reward (std),AdaptorLong prediction (mean),AdaptorLong prediction (std),Cautious QLearner reward (mean),Cautious QLearner reward (std),Cautious QLearner prediction (mean),Cautious QLearner prediction (std),Cooperator reward (mean),Cooperator reward (std),Cooperator prediction (mean),Cooperator prediction (std),Defector reward (mean),Defector reward (std),Defector prediction (mean),Defector prediction (std),Evolved ANN 5 Noise 05 reward (mean),Evolved ANN 5 Noise 05 reward (std),Evolved ANN 5 Noise 05 prediction (mean),Evolved ANN 5 Noise 05 prediction (std),Evolved ANN reward (mean),Evolved ANN reward (std),Evolved ANN prediction (mean),Evolved ANN prediction (std),Random reward (mean),Random reward (std),Random prediction (mean),Random prediction (std),Tit For Tat reward (mean),Tit For Tat reward (std),Tit For Tat prediction (mean),Tit For Tat prediction (std),Worse and Worse reward (mean),Worse and Worse reward (std),Worse and Worse prediction (mean),Worse and Worse prediction (std)
0,3.9539,1.058760969,1.62908,1.603424571,3.7997,1.248991557,1.66096,1.61336291,4.0076,0.99997112,1.65748,1.613329492,0.5037,0.49998631,1.67888,1.623700079,4.0012,0.99999928,1.66594,1.614831235,4.013,0.999915496,1.6523,1.611083086,2.2328,1.918385821,1.68318,1.627301167,4.0054,0.99998542,1.67984,1.624027578,3.9952,1.002684876,1.66654,1.611799128
1,1.5532,1.530349555,-0.0514,0.220812228,2.9134,0.719930858,-0.0541,0.22621492,3.047,0.302970296,-0.0476,0.212918388,0.0278,0.164399392,-0.0518,0.221623013,1.5345,1.528335614,-0.0512,0.220405445,1.5143,1.530292622,-0.0467,0.210995521,1.5142,1.529051458,-0.0493,0.216493672,1.5264,1.52600886,-0.0489,0.215658967,3.0496,0.348625644,-0.0525,0.223033069
2,1.5364,1.531298482,-0.0512,0.220405445,2.8895,0.738978856,-0.0501,0.218151301,3.0472,0.303598682,-0.048,0.213766227,0.0226,0.148624493,-0.0496,0.217117111,2.9755,0.565419977,-0.0515,0.221015271,2.9831,0.547553093,-0.0521,0.222228689,1.5329,1.531051139,-0.0498,0.217531515,2.9773,0.556583067,-0.0499,0.217738352,3.0417,0.359111556,-0.0502,0.218357413
3,1.489,1.533257643,-0.051,0.219997727,2.898,0.726220352,-0.0492,0.216285367,3.055,0.327070329,-0.0543,0.226608716,0.0263,0.160025967,-0.0543,0.226608716,3.0524,0.328716048,-0.0524,0.222832314,3.0153,0.44884954,-0.0511,0.220201703,1.5311,1.536370004,-0.0478,0.213342823,2.9744,0.560129128,-0.0492,0.216285367,3.0389,0.359981652,-0.0501,0.218151301
4,1.4336,1.528656613,-0.0491,0.216076815,2.911,0.70716264,-0.0486,0.215030323,3.0496,0.311030288,-0.0491,0.216076815,0.0247,0.155209246,-0.0504,0.218768919,3.054,0.324166624,-0.0549,0.227784964,2.9422,0.62646561,-0.0488,0.215449669,1.5301,1.539510958,-0.053,0.22403348,2.9792,0.568126183,-0.0507,0.219384389,3.0378,0.39009122,-0.0549,0.227784964
5,1.3859,1.517030385,-0.047,0.211638843,2.8975,0.720134536,-0.0477,0.213130735,3.0492,0.309805358,-0.0508,0.219589071,0.0248,0.155515144,-0.0484,0.214609972,3.0093,0.458054047,-0.0482,0.214188608,2.9515,0.628448685,-0.0509,0.219793517,1.5297,1.536202431,-0.0527,0.223433905,2.9613,0.566570658,-0.0472,0.212066405,3.0256,0.385933466,-0.0491,0.216076815
6,1.3445,1.518295014,0.90624,1.233282231,2.8955,0.729369419,0.70616,1.166482771,3.0484,0.307339291,0.94568,1.240919553,0.0244,0.154287524,-0.0508,0.219589071,3.0511,0.322627944,0.95164,1.245133451,2.9862,0.547183297,0.94822,1.244856149,1.5418,1.533379522,-0.03816,0.279856775,2.9957,0.550346718,0.95004,1.246996391,3.0343,0.380425433,0.9305,1.239770039
7,1.3031,1.507657252,1.3652208,1.82564839,2.8967,0.737176444,1.7377424,1.627444016,3.0482,0.306719351,2.4201608,1.399575529,0.0242,0.153669646,-0.0468,0.211210227,3.0467,0.304498128,1.4222272,1.84486645,2.9535,0.594926676,1.4305344,1.842624439,1.5402,1.529373715,-0.0134792,0.382111122,2.9561,0.592260745,1.4395248,1.843765175,3.0195,0.420380482,2.3472432,1.45293851
8,1.2688,1.50171454,1.590184224,2.124799268,2.8931,0.72434273,2.262360416,1.991442707,3.0542,0.324749688,3.163188768,1.677000339,0.0265,0.16061678,-0.04864,0.215782646,3.0132,0.453459767,2.613900384,1.689524419,2.9487,0.638332445,2.606745856,1.694692026,1.5486,1.528475724,0.011530368,0.477084652,2.9753,0.536367327,2.623357344,1.682192644,3.0131,0.436266421,3.065059872,1.735754119
9,1.2293,1.502105692,1.656267757,2.275874432,2.9021,0.724924541,2.507898095,2.194968671,3.0538,0.323582385,3.526476672,1.856017129,0.0251,0.156428866,-0.04836,0.217194177,3.0204,0.450093146,3.22273664,1.816183433,2.9773,0.551891937,3.198457866,1.839338414,1.5361,1.531305583,0.034136836,0.53138875,2.9857,0.543594987,3.206821498,1.841699432,3.0259,0.445229368,3.40474518,1.929540497
